latitude,longitude,elevation_m
8.677782099999998,77.12597679999999,116.0
8.677782099999998,77.12622470816325,116.0
8.677782099999998,77.12647261632652,116.0
8.677782099999998,77.12672052448978,113.0
8.677782099999998,77.12696843265306,113.0
8.677782099999998,77.12721634081632,113.0
8.677782099999998,77.12746424897958,113.0
8.677782099999998,77.12771215714285,120.0
8.677782099999998,77.12796006530611,120.0
8.677782099999998,77.12820797346937,120.0
8.677782099999998,77.12845588163265,135.0
8.677782099999998,77.1287037897959,135.0
8.677782099999998,77.12895169795918,135.0
8.677782099999998,77.12919960612244,146.0
8.677782099999998,77.1294475142857,146.0
8.677782099999998,77.12969542244898,146.0
8.677782099999998,77.12994333061224,146.0
8.677782099999998,77.13019123877551,121.0
8.677782099999998,77.13043914693877,121.0
8.677782099999998,77.13068705510203,121.0
8.677782099999998,77.1309349632653,109.0
8.677782099999998,77.13118287142856,109.0
8.677782099999998,77.13143077959184,109.0
8.677782099999998,77.1316786877551,116.0
8.677782099999998,77.13192659591836,116.0
8.677782099999998,77.13217450408163,116.0
8.677782099999998,77.13242241224489,116.0
8.677782099999998,77.13267032040815,110.0
8.677782099999998,77.13291822857143,110.0
8.677782099999998,77.13316613673469,110.0
8.677782099999998,77.13341404489796,105.0
8.677782099999998,77.13366195306122,105.0
8.677782099999998,77.13390986122448,105.0
8.677782099999998,77.13415776938776,110.0
8.677782099999998,77.13440567755102,110.0
8.677782099999998,77.13465358571429,110.0
8.677782099999998,77.13490149387755,110.0
8.677782099999998,77.13514940204081,115.0
8.677782099999998,77.13539731020408,115.0
8.677782099999998,77.13564521836734,115.0
8.677782099999998,77.13589312653062,121.0
8.677782099999998,77.13614103469388,121.0
8.677782099999998,77.13638894285714,121.0
8.677782099999998,77.13663685102041,121.0
8.677782099999998,77.13688475918367,121.0
8.677782099999998,77.13713266734693,121.0
8.677782099999998,77.1373805755102,121.0
8.677782099999998,77.13762848367347,123.0
8.677782099999998,77.13787639183674,123.0
8.677782099999998,77.1381243,123.0
8.677983335579803,77.12597679999999,116.0
8.677983335579803,77.12622470816325,116.0
8.677983335579803,77.12647261632652,116.0
8.677983335579803,77.12672052448978,113.0
8.677983335579803,77.12696843265306,113.0
8.677983335579803,77.12721634081632,113.0
8.677983335579803,77.12746424897958,113.0
8.677983335579803,77.12771215714285,120.0
8.677983335579803,77.12796006530611,120.0
8.677983335579803,77.12820797346937,120.0
8.677983335579803,77.12845588163265,135.0
8.677983335579803,77.1287037897959,135.0
8.677983335579803,77.12895169795918,135.0
8.677983335579803,77.12919960612244,146.0
8.677983335579803,77.1294475142857,146.0
8.677983335579803,77.12969542244898,146.0
8.677983335579803,77.12994333061224,146.0
8.677983335579803,77.13019123877551,121.0
8.677983335579803,77.13043914693877,121.0
8.677983335579803,77.13068705510203,121.0
8.677983335579803,77.1309349632653,109.0
8.677983335579803,77.13118287142856,109.0
8.677983335579803,77.13143077959184,109.0
8.677983335579803,77.1316786877551,116.0
8.677983335579803,77.13192659591836,116.0
